"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"주식회사 늘푸른한가족","염창동, 4등급, 일3시간, 재가 요양보호사 채용","(07535)  서울특별시 강서구 양천로67길 32 (염창동, 신동아아파트)","08027 서울특별시 양천구 오목로 181, 5층 (신정동)","시급10,320원 이상 ~ 13,000원 이하,","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(550100)","그 외 기타 보건업","경력","학력무관","","26-08-05","채용시까지  26-10-04","","- 대상자: 4등급 할머니 (40년생, 가족거주하나 근무시간에는 출근함)  - 직무: 일상생활 및 신체활동 - 근무시간: 주 5일, 13:00~16:00  (오전으로 시간변경가능)","면접","방문,기타(전화 후 방문)","기타(요양보호사 자격증 사본)","","","평일 : (근무시간) (오후) 1시 00분 ~ (오후) 4시 00분, 주 5일 근무"
"실버사랑방문요양재가센터","[초이동] 4등급 여자 어르신 케어 재가요양보호사...","(12986)  경기도 하남시 초이로99번길 127-22, 주택 (초이동)","12961 경기도 하남시 하남대로739번길 34, 실버사랑 (신장동)","시급10,320원 이상,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","[초이동] 4등급 여자 어르신 케어 재가요양보호사 모집  ㅇ 혼자 거주, 거동 가능  ㅇ 가사 및 일상생활지원 등  ㅇ근무시간 : 주5일(월~금) 08:00 ~ 11:00 (시간 협의 가능)  ㅇ급여 : 기본시급 10,320원 + 기타수당 포함 = 시급 13,000원  ◆전화( 센터장 010-5429-2844 또는 시설장 010-7429-2844 )상담 후 지원◆","면접","방문,기타(◆전화( 센터장 010-5429-2844 또는 시설장 010-7429-2844 )상담 후 지원◆)","기타(요양보호사자격증)","","031-796-5755","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 5일 근무"
"광명노인복지센터","재가요양보호사 채용(서창동)","(21602)  인천광역시 남동구 매소홀로 1103, .. (서창동, 현대모닝사이드 아파트)","21647 인천광역시 남동구 호구포로 294-1 (논현동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","- 4등급 여자 어르신 케어/독거 - 주6일 근무(월24회 이내) - 각종수당 포함 시급 13,000원","면접","방문","이력서","","","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"올바른 방문요양센터","어르신을 위한 따뜻한 격려와 지원을 나누고 싶은 ...","(16539)  경기도 수원시 영통구 매원로12번길 9 (매탄동)","16539 경기도 수원시 영통구 매원로12번길 9, 매탄4동 209-20 103호 (매탄동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","근무요일 : 월요일~ 금요일 (주 5일)  근무시간 : 오전 10시 ~ 오후 1시  업      무 : 일상적인 지원 및 환경 정리, 정서지원  시      급 : 10,320원 (기타 지급 포함 : 13,000원)  * 78세 4등급 여자 어르신 입니다. * 어르신이 병원 가시는 날이 있어 그 달에 60시간 안 될 경우가 있습니다.  지원 시, 참고 부탁 드립니다.","면접","방문,고용24","기타(건강검진표 / 요양보호사 자격증)","","","평일 : (근무시간) (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무"
"더케어방문요양센터","[감북동] 4등급 여자어르신 케어 재가요양보호사 ...","(12990)  경기도 하남시 감초로70번길 68, . (감북동)","12925 경기도 하남시 미사대로 550 (덕풍동, 현대지식산업센터 한강미사 2층)","시급10,320원 이상,","평일 : 주5일(월~금) 13:00 ~ 16:00 (근무시간 30분 조정 가능 / 주3일 근무도 가능), 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","(감북동) 4등급 여자어르신 케어  ㅇ가사일, 청소, 장보기, 말벗, 인지 좋으심.  ㅇ근무시간 : 주5일(월~금) 13:00 ~ 16:00 (근무시간 30분 조정 가능 / 주3일 근무도 가능)  ㅇ급여 : 기본시급 10,320원 + 기타수당 포함 = 시급 13,500원  ◆전화( 010-6722-5078 )상담 후 지원◆","면접","방문,기타(◆전화( 010-6722-5078 )상담 후 지원◆)","기타(요양보호사자격증)","","031-8027-7988","평일 : 주5일(월~금) 13:00 ~ 16:00 (근무시간 30분 조정 가능 / 주3일 근무도 가능), 주 5일 근무"
"동분당재가복지센터","방문요양보호사를 모집합니다.(도촌동 근무)","(13424)  경기도 성남시 중원구 도촌남로 69, 403동 (도촌동, 휴먼시아섬마을4단지아파트)","13426 경기도 성남시 중원구 도촌로8번길 20, 103호 (도촌파크오피스텔) (도촌동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 4시 30분 ~ (오후) 7시 30분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","*84세 여자 어르신 (4등급) 케어 입니다.  1. 주 6일 근무 2. 근무 시간 - 16:30~19:30 3. 포괄시급-13,100원(시급10,320원) 4. 요양보호사 업무범위 서비스제공  5. 성실한  요양보호사님  모집합니다. 6. 모집인원 : 1명 7. 근무지: 성남시 중원구 도촌동 4단지 아파트 8. 근무내용: 일상생활지원,신체활동지원,정서지원,병원동행등","면접,기타(이력서 요양보호사자격증)","방문,팩스,고용24","이력서","","031-722-5451","평일 : (근무시간) (오후) 4시 30분 ~ (오후) 7시 30분, 주 6일 근무"
"돌보인방문요양센터강서점","[옥수동/4등급/할머니/14~17시/주3일] 재가...","(04739)  서울특별시 성동구 독서당로40길 37, 옥수어울림아파트 (옥수동, 옥수 어울림)","07686 서울특별시 강서구 우장산로16길 42 (화곡동)","시급10,320원 이상 ~ 13,050원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","-대상자: 4등급 할머니(독거), 치매없음 -직무내용:  식사도움, 가사지원 -근로시간: 14:00~17:00 주3일 -근무예정지: 옥수어울림아파트 -지원문의: 02-2607-2937","면접","방문,기타(전화문의지원 ( 010-8916-9911))","기타(요양보호사자격증)","","02-2607-2937","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 3일 근무"
"수정노인복지센터","작전동 오후재가 요양보호사 구인","(21125)  인천광역시 계양구 효서로 393, .. (작전동, 까치마을태화.한진아파트)","21124 인천광역시 계양구 봉오대로774번길 21, 2층 (작전동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","* 4등급 할머님 (34년생) / 독거 * 오후 12:30 - 3:30 / 주5일 / 일일3시간 * 시급 + 제수당 = 13,200원 * 일상생활 도움 , 말벗, 식사 준비 등 가사생활 지원","서류,면접","방문","이력서","","032-222-9395","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 5일 근무"
"대교뉴이프 방문요양센터 인천계양센터","대교뉴이프 방문요양 인천계양센터 수원시 권선구 오...","(16636)  경기도 수원시 권선구 오목천로 15, 112동 (오목천동, 상송마을주공아파트)","21037 인천광역시 계양구 경명대로 1023, 1층 (계산동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 11시 30분 ~ (오후) 2시 30분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(노인요양사)(550101)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","*요양보호사 급여 기본시급(10,320원) + 각종수당 = 13,300원  *근무시간 11:30-14:30 (평일3시간)  *5등급 여자 어르신 케어  *치매전문교육이수 필수  *어르신 스스로 거동 가능하며, 인지기능 양호, 의사소통 원활하며 성격이 온화한 어르신입니다.  * 주변 정리정돈 및 청소, 병원 동행, 복약도움, 부축 도움 등","면접","고용24","이력서","","032-710-2990","평일 : (근무시간) (오전) 11시 30분 ~ (오후) 2시 30분, 주 5일 근무"
"사회복지법인한국봉사회(북부다나을방문요양센터)","하계동 중계주공9단지 2등급 여자어르신 요양보호사...","(01748)  서울특별시 노원구 노원로16길 15, 908동 (하계동, 중계주공9단지아파트)","01604 서울특별시 노원구 동일로245길 56 (상계동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","하계동 중계주공9단지 2등급 여자어르신 요양보호사 구인  근무 일자 : 주6회 (월~토)  근무 시간 : 오전 08:00~11:00 (3시간) 오전으로 시간 협의 가능  어르신 상태 : 2등급이나 기본적인 개인위생수행은 혼자서 하시며 기저귀케어 및 목욕케어 없음. 4등급같은 2등급이심. 근무 내용 : 가사활동(취사, 청소, 세탁), 말벗도움, 병원동행 시급 : 13,500원,","서류,면접","방문","기타(요양보호사 자격증 1부, 채용건강검진 1부)","","02-952-7188","평일 : (근무시간) (오전) 8시 00분 ~ (오전) 11시 00분, 주 6일 근무"
